Title,Price,Image URL
Macarrones Carrefour 1 kg.,"1,20 €",https://static.carrefour.es/hd_350x_/img_pim_food/226607_00_1.jpg
Pasta espaguetis Carrefour 1 kg.,"1,20 €",https://static.carrefour.es/hd_350x_/img_pim_food/226608_00_1.jpg
Harina de maiz fina Maizena sin gluten 700 g.,"4,79 €",https://static.carrefour.es/hd_350x_/img_pim_food/002052_00_1.jpg
Garbanzo categoria extra Carrefour 1 kg.,"2,15 €",https://static.carrefour.es/hd_350x_/img_pim_food/201578_00_1.jpg
Sazonador para fajitas suave Old El Paso 35 g.,"1,58 €",https://static.carrefour.es/hd_350x_/img_pim_food/011556_00_1.jpg
Arroz largo categoria 1 Carrefour Classc' 1 kg.,"1,30 €",https://static.carrefour.es/hd_350x_/img_pim_food/197726_00_1.jpg
,,https://static.carrefour.es/hd_350x_/img_pim_food/156111_00_1.jpg
,,https://static.carrefour.es/hd_350x_/img_pim_food/156610_00_1.jpg
Guacamole Carrefour 200 g,"1,59 €",https://static.carrefour.es/hd_350x_/img_pim_food/208412_00_1.jpg
Aceite de girasol Carrefour Classic' 1 l.,"1,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/277385_00_1.jpg
Salsa barbacoa Hellmann's envase 285 g.,"2,29 €",https://static.carrefour.es/hd_350x_/img_pim_food/118221_00_1.jpg
Tomate frito Orlando sin gluten pack de 3 unidades de 350 g.,"2,95 €",https://static.carrefour.es/hd_350x_/img_pim_food/146861_00_1.jpg
Mayonesa Hellmann's sin gluten y sin lactosa pack de 2 unidades de 430 g.,"5,95 €",https://static.carrefour.es/hd_350x_/img_pim_food/215626_00_1.jpg
"Aceite de oliva original 0,4o Carbonell 1 l.","13,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/000013_00_1.jpg
,,https://static.carrefour.es/hd_350x_/img_pim_food/478321_00_1.jpg
,,https://static.carrefour.es/hd_350x_/img_pim_food/714085_00_1.jpg
Mayonesa con aceite de girasol Carrefour tarro 450 ml.,"1,16 €",https://static.carrefour.es/hd_350x_/img_pim_food/122380_00_1.jpg
Tomate frito Carrefour pack de 3 briks de 390 g.,"1,37 €",https://static.carrefour.es/hd_350x_/img_pim_food/775313_00_1.jpg
Salsa Ligeresa sin lactosa envase 500 ml.,"3,05 €",https://static.carrefour.es/hd_350x_/img_pim_food/322918_00_1.jpg
Arroz categoria primera Carrefour 1 kg.,"1,27 €",https://static.carrefour.es/hd_350x_/img_pim_food/101424_00_1.jpg
Espaguetis no 3 Gallo 675 g.,"1,75 €",https://static.carrefour.es/hd_350x_/img_pim_food/652831_00_1.jpg
Garbanzo cocido categoria extra Luengo 400 g.,"1,30 €",https://static.carrefour.es/hd_350x_/img_pim_food/032627_00_1.jpg
Garbanzos cocidos categoria extra Carrefour 400 g.,"0,71 €",https://static.carrefour.es/hd_350x_/img_pim_food/686220_00_1.jpg
Arroz redondo Sos 1 kg.,"1,80 €",https://static.carrefour.es/hd_350x_/img_pim_food/002277_00_1.jpg
Harina de trigo Classic Carrefour 1 kg.,"0,65 €",https://static.carrefour.es/hd_350x_/img_pim_food/253575_00_1.jpg
Aceite de girasol para freir Carrefour garrafa 5 l.,"6,75 €",https://static.carrefour.es/hd_350x_/img_pim_food/277575_00_1.jpg
Tomate frito Carrefour tarro 550 g.,"0,83 €",https://static.carrefour.es/hd_350x_/img_pim_food/365663_00_1.jpg
Sal marina fina Carrefour 1 kg.,"0,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/234955_00_1.jpg
Garbanzos cocidos sin sal anadida categoria extra Carrefour 400 g.,"0,71 €",https://static.carrefour.es/hd_350x_/img_pim_food/709626_00_1.jpg
Aceite de oliva virgen extra hojiblanca Coosur 1 l.,"14,49 €",https://static.carrefour.es/hd_350x_/img_pim_food/543824_00_1.jpg
Harina de trigo Gallo 1 kg.,"1,42 €",https://static.carrefour.es/hd_350x_/img_pim_food/002267_00_1.jpg
Aceite de oliva virgen extra Dcoop 1 l.,"14,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/958684_00_1.jpg
Ketchup Classic Carrefour envase 560 g.,"1,21 €",https://static.carrefour.es/hd_350x_/img_pim_food/438870_00_1.jpg
Alubia cocida categoria extra Luengo 400 g.,"1,30 €",https://static.carrefour.es/hd_350x_/img_pim_food/032625_00_1.jpg
Aceite de girasol Koipe Sol 1 l.,"2,49 €",https://static.carrefour.es/hd_350x_/img_pim_food/000020_00_1.jpg
Ketchup Heinz envase 700 g.,"3,79 €",https://static.carrefour.es/hd_350x_/img_pim_food/680150_00_1.jpg
Espaguetis Garofalo 500 g.,"1,70 €",https://static.carrefour.es/hd_350x_/img_pim_food/891485_00_1.jpg
Gnocchi de patata Carrefour Extra 500 g.,"1,09 €",https://static.carrefour.es/hd_350x_/img_pim_food/144785_00_1.jpg
Aceite de oliva virgen extra Maestros de Hojiblanca 1 l.,"15,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/113505_00_1.jpg
Mayonesa Carrefour envase 500 ml 475g.,"1,47 €",https://static.carrefour.es/hd_350x_/img_pim_food/013524_00_1.jpg
Alubias cocidas categoria extra Carrefour 400 g.,"0,69 €",https://static.carrefour.es/hd_350x_/img_pim_food/686224_00_1.jpg
Tomate frito Carrefour pack de 3 briks de 215 g.,"1,12 €",https://static.carrefour.es/hd_350x_/img_pim_food/775309_00_1.jpg
Plumas no 6 Gallo 675 g.,"1,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/652826_00_1.jpg
Aceite de girasol Coosol 1 l.,"2,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/000018_00_1.jpg
Vinagre de vino blanco Carrefour 1 l.,"0,75 €",https://static.carrefour.es/hd_350x_/img_pim_food/184914_00_1.jpg
Polvo gasificante para hornear Royal sin gluten pack de 6 sobres de 16 g.,"2,69 €",https://static.carrefour.es/hd_350x_/img_pim_food/613458_00_1.jpg
"Aceite de oliva suave 0,4o Carrefour 1 l.","9,25 €",https://static.carrefour.es/hd_350x_/img_pim_food/128215_00_1.jpg
Lenteja pardina categoria extra Carrefour 1 kg.,"2,09 €",https://static.carrefour.es/hd_350x_/img_pim_food/645734_00_1.jpg
Aceite de oliva virgen extra intenso Coosur 1 l.,"14,49 €",https://static.carrefour.es/hd_350x_/img_pim_food/543813_00_1.jpg
Aceite de oliva virgen extra Carrefour 1 l.,"9,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/471213_00_1.jpg
Aceite de oliva virgen Carbonell 1 l.,"14,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/659365_00_1.jpg
Aceite de oliva Sabor 1o Carbonell 1 l.,"13,89 €",https://static.carrefour.es/hd_350x_/img_pim_food/868988_00_1.jpg
Levadura fresca Levanova sin gluten pack de 2 sobres de 25 g.,"0,49 €",https://static.carrefour.es/hd_350x_/img_pim_food/924982_00_1.jpg
Macarrones Carrefour 500 g.,"0,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/229760_00_1.jpg
Tomate frito Carrefour brik 390 g.,"0,70 €",https://static.carrefour.es/hd_350x_/img_pim_food/775314_00_1.jpg
Fideo cabellin Carrefour 500 g.,"0,82 €",https://static.carrefour.es/hd_350x_/img_pim_food/229799_00_1.jpg
Salsa de tomate de la abuela Original Carrefour tarro 550 g.,"2,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/958735_00_1.jpg
Garbanzos cocidos extra Simpl 400 g.,"0,67 €",https://static.carrefour.es/hd_350x_/img_pim_food/203393_00_1.jpg
Tiburon Carrefour 500 g.,"0,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/229700_00_1.jpg
Ajo granulado Carrefour 55 g.,"0,55 €",https://static.carrefour.es/hd_350x_/img_pim_food/851265_00_1.jpg
Espaguetis Carrefour 500 g.,"0,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/229736_00_1.jpg
Tomate frito Orlando sin gluten brik 350 g.,"1,07 €",https://static.carrefour.es/hd_350x_/img_pim_food/002204_00_1.jpg
Sal marina yodada fina Classic Carrefour 1 kg.,"0,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/234952_00_1.jpg
Aceite de oliva virgen extra arbequina Coosur 1 l.,"14,49 €",https://static.carrefour.es/hd_350x_/img_pim_food/543829_00_1.jpg
Tomate frito con aceite de oliva virgen extra Carrefour pack de 3 briks de 215 g.,"1,19 €",https://static.carrefour.es/hd_350x_/img_pim_food/854879_00_1.jpg
Tallarines Carrefour 500 g.,"0,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/229698_00_1.jpg
Arroz basmati para microondas Brillante pack de 2 ud. de 125 g.,"1,34 €",https://static.carrefour.es/hd_350x_/img_pim_food/449472_00_1.jpg
Vinagre de manzana Carrefour 1 l.,"0,90 €",https://static.carrefour.es/hd_350x_/img_pim_food/607296_00_1.jpg
Sal marina gruesa Carrefour 1 kg.,"0,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/234950_00_1.jpg
Alubia cocida sin sal anadida categoria extra Carrefour 400 g.,"0,69 €",https://static.carrefour.es/hd_350x_/img_pim_food/709406_00_1.jpg
Arroz categoria extra La Fallera 1 kg.,"1,68 €",https://static.carrefour.es/hd_350x_/img_pim_food/013185_00_1.jpg
Arroz redondo para microondas Brillante pack de 2 ud. de 125 g.,"1,25 €",https://static.carrefour.es/hd_350x_/img_pim_food/737039_00_1.jpg
Pasta fideo cabellin Carrefour 1 kg.,"1,62 €",https://static.carrefour.es/hd_350x_/img_pim_food/226581_00_1.jpg
Arroz basmati para microondas Classic Carrefour sin gluten pack de 2 unidades de 125 g.,"1,20 €",https://static.carrefour.es/hd_350x_/img_pim_food/099191_00_1.jpg
Arroz basmati Sensation Carrefour 1 kg.,"2,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/724474_00_1.jpg
Salsa allioli ajo fresco morado Chovi sin gluten 180 g.,"1,35 €",https://static.carrefour.es/hd_350x_/img_pim_food/069850_00_1.jpg
Harina de trigo Carrefour 2 kg.,"1,39 €",https://static.carrefour.es/hd_350x_/img_pim_food/835041_00_1.jpg
Salsa bolonesa Carrefour sin gluten tarro 300 g.,"1,40 €",https://static.carrefour.es/hd_350x_/img_pim_food/212827_00_1.jpg
Arroz largo vaporizado Carrefour Classic' 1 kg.,"1,54 €",https://static.carrefour.es/hd_350x_/img_pim_food/523827_00_1.jpg
Aceite de oliva intenso 1o Carrefour 1 l.,"9,25 €",https://static.carrefour.es/hd_350x_/img_pim_food/128222_00_1.jpg
Oregano Carrefour 11 g.,"0,54 €",https://static.carrefour.es/hd_350x_/img_pim_food/851271_00_1.jpg
Fideo no0 Gallo 450 g.,"1,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/556012_00_1.jpg
Mayonesa Hellmann's sin gluten tarro 650 ml.,"4,69 €",https://static.carrefour.es/hd_350x_/img_pim_food/598659_00_1.jpg
Mayonesa Ybarra sin gluten y sin lactosa envase 400 ml.,"1,80 €",https://static.carrefour.es/hd_350x_/img_pim_food/107782_00_1.jpg
Mayonesa Hellmann's sin gluten sin lactosa envase 430 ml.,"3,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/714085_00_1.jpg
Tomate frito Hida sin gluten lata 340 g.,"1,54 €",https://static.carrefour.es/hd_350x_/img_pim_food/686918_00_1.jpg
Garbanzos cocidos al natural Carrefour 210 g.,"0,63 €",https://static.carrefour.es/hd_350x_/img_pim_food/551496_00_1.jpg
Aceite de oliva virgen extra Carrefour spray 200 ml.,"3,29 €",https://static.carrefour.es/hd_350x_/img_pim_food/179213_00_1.jpg
Lenteja cocida categoria extra Luengo 400 g.,"1,34 €",https://static.carrefour.es/hd_350x_/img_pim_food/032626_00_1.jpg
Aceite de oliva virgen Carrefour 1 l.,"9,55 €",https://static.carrefour.es/hd_350x_/img_pim_food/808633_00_1.jpg
Fideua Carrefour 500 g.,"0,82 €",https://static.carrefour.es/hd_350x_/img_pim_food/229667_00_1.jpg
Pasta spaghetti fino Gallo 450 g.,"1,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/636268_00_1.jpg
Espirales vegetales Carrefour 500 g.,"1,20 €",https://static.carrefour.es/hd_350x_/img_pim_food/228697_00_1.jpg
Mayonesa Hellmann's sin gluten tarro 225 ml.,"1,95 €",https://static.carrefour.es/hd_350x_/img_pim_food/002247_00_1.jpg
Fideo entrefino Carrefour 500 g.,"0,82 €",https://static.carrefour.es/hd_350x_/img_pim_food/229805_00_1.jpg
Tomate frito con aceite de oliva Carrefour tarro 350 g.,"1,75 €",https://static.carrefour.es/hd_350x_/img_pim_food/365668_00_1.jpg
Tomate frito Orlando sin gluten pack de 3 briks de 212 g.,"2,25 €",https://static.carrefour.es/hd_350x_/img_pim_food/116500_00_1.jpg
Guacamole picante Carrefour 200 g,"1,99 €",https://static.carrefour.es/hd_350x_/img_pim_food/410818_00_1.jpg
Tallarines Carrefour 1 kg.,"1,20 €",https://static.carrefour.es/hd_350x_/img_pim_food/325856_00_1.jpg
Pasta plumas no 6 Gallo 450 g.,"1,45 €",https://static.carrefour.es/hd_350x_/img_pim_food/636134_00_1.jpg
Pasta penne ziti rigate Garofalo 500 g.,"1,70 €",https://static.carrefour.es/hd_350x_/img_pim_food/891487_00_1.jpg
Quinoa blanca y roja Classic Carrefour sin gluten pack 2 unidades de 125 g.,"1,42 €",https://static.carrefour.es/hd_350x_/img_pim_food/113026_00_1.jpg
Tiburon vegetal Carrefour 500 g.,"0,79 €",https://static.carrefour.es/hd_350x_/img_pim_food/507045_00_1.jpg
Aceite de orujo de oliva 1 l.,"5,55 €",https://static.carrefour.es/hd_350x_/img_pim_food/831787_00_1.jpg
Aceite de girasol Koipe Fritos 1 l.,"2,59 €",https://static.carrefour.es/hd_350x_/img_pim_food/883394_00_1.jpg
Salsa de tomate De la Abuela Carrefour tarro 300 g.,"1,65 €",https://static.carrefour.es/hd_350x_/img_pim_food/924292_00_1.jpg
Tagliatelle al huevo Carrefour Extra 250 g.,"1,15 €",https://static.carrefour.es/hd_350x_/img_pim_food/840574_00_1.jpg
Mayonesa Ybarra sin gluten y sin lactosa tarro 450 ml.,"2,55 €",https://static.carrefour.es/hd_350x_/img_pim_food/028952_00_1.jpg
Tomate frito con aceite de oliva virgen Carrefour 390 g.,"0,85 €",https://static.carrefour.es/hd_350x_/img_pim_food/382986_00_1.jpg
Lenteja pardina categoria extra Luengo 1 kg.,"3,79 €",https://static.carrefour.es/hd_350x_/img_pim_food/097243_00_1.jpg
Lentejas cocidas categoria extra Carrefour 400 g.,"0,84 €",https://static.carrefour.es/hd_350x_/img_pim_food/686242_00_1.jpg
Estrellas Carrefour 500 g.,"0,73 €",https://static.carrefour.es/hd_350x_/img_pim_food/879182_00_1.jpg
Salsa de miel y mostaza Carrefour Classic sin gluten envase 300 g.,"1,16 €",https://static.carrefour.es/hd_350x_/img_pim_food/958862_00_1.jpg
