Categoria,Subcategoria,Producto,Precio,URL Imagen,Nutriscore
,,Jamon serrano reserva Nuestra Alacena bandeja 200 g,"3,59 €",https://www.dia.es/product_images/274051/274051_ISO_0_ES.jpg?imwidth=176,E
,,Mini taquitos de jamon Nuestra Alacena bandeja 2 x 75 g,"2,29 €",https://www.dia.es/product_images/274059/274059_ISO_0_ES.jpg?imwidth=176,C
,,Paleta curada reserva Nuestra Alacena bandeja 200 g,"2,87 €",https://www.dia.es/product_images/274056/274056_ISO_0_ES.jpg?imwidth=176,A
,,Paleta de cebo iberica 50% Nuestra Alacena bandeja 100 g,"4,99 €",https://www.dia.es/product_images/274058/274058_ISO_0_ES.jpg?imwidth=176,B
,,Jamon serrano reserva medias lonchas Nuestra Alacena bandeja 100 g,"1,85 €",https://www.dia.es/product_images/274052/274052_ISO_0_ES.jpg?imwidth=176,A
,,Jamon de cebo iberico 50% Nuestra Alacena bandeja 90 g,"4,89 €",https://www.dia.es/product_images/274057/274057_ISO_0_ES.jpg?imwidth=176,D
,,Paleta curada reserva 50 % duroc Nuestra Alacena bandeja 110 g,"2,59 €",https://www.dia.es/product_images/274055/274055_ISO_0_ES.jpg?imwidth=176,D
,,Jamon serrano reserva Nuestra Alacena bandeja 120 g,"2,69 €",https://www.dia.es/product_images/274053/274053_ISO_0_ES.jpg?imwidth=176,C
,,Jamon curado Elpozo bandeja 2 x 90 g,"3,00 €",https://www.dia.es/product_images/265993/265993_ISO_0_ES.jpg?imwidth=176,D
,,Jamon curado Navidul sobre 50 g,"1,10 €",https://www.dia.es/product_images/118111/118111_ISO_0_ES.jpg?imwidth=176,A
,,Petalos de jamon serrano gran reserva 50% duroc Nuestra Alacena sobre 80 g,"2,59 €",https://www.dia.es/product_images/293068/293068_ISO_0_ES.jpg?imwidth=176,B
,,Jamon curado Elpozo sobre 115 g,"2,00 €",https://www.dia.es/product_images/262594/262594_ISO_0_ES.jpg?imwidth=176,D
,,Jamon serrano en taquitos Navidul bandeja 100 g,"2,00 €",https://www.dia.es/product_images/86666/86666_ISO_0_ES.jpg?imwidth=176,D
,,Pizcas de jamon de cebo iberico 50 % Nuestra Alacena bandeja 60 g,"1,99 €",https://www.dia.es/product_images/274060/274060_ISO_0_ES.jpg?imwidth=176,B
,,Jamon curado en taco Nuestra Alacena bolsa 300 g,"5,49 €",https://www.dia.es/product_images/274061/274061_ISO_0_ES.jpg?imwidth=176,E
,,Jamon serrano gran reserva 50% duroc Boadas sobre 100 g,"3,79 €",https://www.dia.es/product_images/296516/296516_ISO_0_ES.jpg?imwidth=176,C
,,Jamon bodega Volatin 6.5 Kg,"55,00 €",https://www.dia.es/product_images/188085/188085_ISO_0_ES.jpg?imwidth=176,B
,,Pechuga de pavo Nuestra Alacena sobre 2 x 200 g,"3,59 €",https://www.dia.es/product_images/273810/273810_ISO_0_ES.jpg?imwidth=176,E
,,Jamon cocido extra Nuestra Alacena sobre 2 x 225 g,"3,19 €",https://www.dia.es/product_images/273957/273957_ISO_0_ES.jpg?imwidth=176,D
,,Bacon en tiras Nuestra Alacena bandeja 2 x 100 g,"1,89 €",https://www.dia.es/product_images/273750/273750_ISO_0_ES.jpg?imwidth=176,A
,,Bacon Nuestra Alacena sobre 200 g,"1,99 €",https://www.dia.es/product_images/273749/273749_ISO_0_ES.jpg?imwidth=176,A
,,Jamon cocido extra 97% carne Nuestra Alacena sobre 150 g,"1,99 €",https://www.dia.es/product_images/273737/273737_ISO_0_ES.jpg?imwidth=176,D
,,Pechuga de pavo 90% carne Nuestra Alacena sobre 120 g,"2,19 €",https://www.dia.es/product_images/273965/273965_ISO_0_ES.jpg?imwidth=176,B
,,Jamon cocido extra Elpozo 1954 sobre 150 g,"2,00 €",https://www.dia.es/product_images/146710/146710_ISO_0_ES.jpg?imwidth=176,B
,,Mortadela Nuestra Alacena sobre 250 g,"1,25 €",https://www.dia.es/product_images/273960/273960_ISO_0_ES.jpg?imwidth=176,C
,,Fiambre de pavo sandwich Elpozo bandeja 270 g,"2,00 €",https://www.dia.es/product_images/178002/178002_ISO_0_ES.jpg?imwidth=176,D
,,Pechuga de pavo Campofrio Finissimas sobre 115 g,"1,99 €",https://www.dia.es/product_images/74043/74043_ISO_0_ES.jpg?imwidth=176,E
,,Jamon cocido extra bajo en sal Nuestra Alacena sobre 200 g,"1,99 €",https://www.dia.es/product_images/273736/273736_ISO_0_ES.jpg?imwidth=176,E
,,Jamon de pavo Nuestra Alacena sobre 200 g,"1,48 €",https://www.dia.es/product_images/273733/273733_ISO_0_ES.jpg?imwidth=176,E
,,Mortadela con aceitunas Nuestra Alacena sobre 250 g,"1,25 €",https://www.dia.es/product_images/273961/273961_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo bajo en sal Nuestra Alacena sobre 200 g,"1,97 €",https://www.dia.es/product_images/273731/273731_ISO_0_ES.jpg?imwidth=176,B
,,Lacon ahumado Nuestra Alacena sobre 200 g,"2,29 €",https://www.dia.es/product_images/273745/273745_ISO_0_ES.jpg?imwidth=176,B
,,Bacon en lonchas Elpozo sobre 120 g,"1,50 €",https://www.dia.es/product_images/162311/162311_ISO_0_ES.jpg?imwidth=176,A
,,Fiambre sandwich Nuestra Alacena sobre 250 g,"1,54 €",https://www.dia.es/product_images/273740/273740_ISO_0_ES.jpg?imwidth=176,C
,,Jamon cocido Elpozo sobre 80 g,"1,00 €",https://www.dia.es/product_images/298369/298369_ISO_0_ES.jpg?imwidth=176,D
,,Chopped pork Nuestra Alacena sobre 250 g,"1,39 €",https://www.dia.es/product_images/273959/273959_ISO_0_ES.jpg?imwidth=176,E
,,Jamon de pavo con trufa y boletus Elpozo sobre 120 + 20 g,"2,00 €",https://www.dia.es/product_images/255685/255685_ISO_0_ES.jpg?imwidth=176,A
,,Jamon cocido extra Campofrio Finissimas sobre 115 g,"1,99 €",https://www.dia.es/product_images/74042/74042_ISO_0_ES.jpg?imwidth=176,A
,,Magro de cerdo cocido Nuestra Alacena lata 200 g,"2,35 €",https://www.dia.es/product_images/66118/66118_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo braseado Campofrio sobre 75 g,"1,00 €",https://www.dia.es/product_images/300740/300740_ISO_0_ES.jpg?imwidth=176,B
,,Jamon cocido extra Nuestra Alacena sobre 200 g,"2,19 €",https://www.dia.es/product_images/298528/298528_ISO_0_ES.jpg?imwidth=176,D
,,Fiambre de pavo Nuestra Alacena sobre 400 g,"2,75 €",https://www.dia.es/product_images/297977/297977_ISO_0_ES.jpg?imwidth=176,B
,,Pavo trufado con pistachos Serrano sobre 150 g,"1,89 €",https://www.dia.es/product_images/296598/296598_ISO_0_ES.jpg?imwidth=176,D
,,Jamon cocido extra braseado Nuestra Alacena sobre 150 g,"2,25 €",https://www.dia.es/product_images/296230/296230_ISO_0_ES.jpg?imwidth=176,B
,,Chopped pork Nuestra Alacena 500 g,"2,25 €",https://www.dia.es/product_images/274755/274755_ISO_0_ES.jpg?imwidth=176,E
,,Mortadela Nuestra Alacena 500 g,"2,15 €",https://www.dia.es/product_images/274754/274754_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pollo Nuestra Alacena sobre 200 g,"2,11 €",https://www.dia.es/product_images/274104/274104_ISO_0_ES.jpg?imwidth=176,C
,,Pechuga de pollo braseado Nuestra Alacena sobre 200 g,"2,29 €",https://www.dia.es/product_images/274101/274101_ISO_0_ES.jpg?imwidth=176,E
,,Pechuga de pavo braseado Nuestra Alacena sobre 200 g,"2,49 €",https://www.dia.es/product_images/273964/273964_ISO_0_ES.jpg?imwidth=176,C
,,Panceta curada Nuestra Alacena sobre 150 + 15 g,"1,99 €",https://www.dia.es/product_images/273962/273962_ISO_0_ES.jpg?imwidth=176,D
,,Jamon cocido extra sabor ahumado Nuestra Alacena sobre 250 g,"2,75 €",https://www.dia.es/product_images/273958/273958_ISO_0_ES.jpg?imwidth=176,D
,,Pechuga de pavo bajo en grasa Nuestra Alacena 500 g,"3,49 €",https://www.dia.es/product_images/273956/273956_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo bajo en sal Nuestra Alacena 500 g,"3,89 €",https://www.dia.es/product_images/273955/273955_ISO_0_ES.jpg?imwidth=176,C
,,Pavo maxi Nuestra Alacena 900 g + 100 g,"2,99 €",https://www.dia.es/product_images/273954/273954_ISO_0_ES.jpg?imwidth=176,A
,,Chopped de pavo Nuestra Alacena sobre 200 g,"1,69 €",https://www.dia.es/product_images/273953/273953_ISO_0_ES.jpg?imwidth=176,D
,,Mortadela de pavo Nuestra Alacena sobre 200 g,"1,59 €",https://www.dia.es/product_images/273952/273952_ISO_0_ES.jpg?imwidth=176,D
,,Mortadela Bologna I.G.P. Seleccion Mundial sobre 150 g,"1,99 €",https://www.dia.es/product_images/273756/273756_ISO_0_ES.jpg?imwidth=176,C
,,Bacon en taco Nuestra Alacena bolsa 300 g,"2,89 €",https://www.dia.es/product_images/273751/273751_ISO_0_ES.jpg?imwidth=176,D
,,Chopped lata Nuestra Alacena sobre 250 g,"1,99 €",https://www.dia.es/product_images/273748/273748_ISO_0_ES.jpg?imwidth=176,C
,,Cabeza de jabali Nuestra Alacena sobre 200 g,"1,99 €",https://www.dia.es/product_images/273747/273747_ISO_0_ES.jpg?imwidth=176,A
,,Jamon york maxi Nuestra Alacena 800 g,"2,99 €",https://www.dia.es/product_images/273746/273746_ISO_0_ES.jpg?imwidth=176,D
,,Paleta cocida Nuestra Alacena sobre 250 g,"2,59 €",https://www.dia.es/product_images/273744/273744_ISO_0_ES.jpg?imwidth=176,B
